TYPECOM,COM,REG,DEP,CTCD,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,COMPARENT
COM,30258,76,30,30D,302,0,SAINT GILLES,Saint-Gilles,Saint-Gilles,3019,
COM,35001,53,35,35D,353,1,ACIGNE,Acigné,Acigné,3513,
COM,35022,53,35,35D,353,0,BECHEREL,Bécherel,Bécherel,3515,
COM,35024,53,35,35D,353,0,BETTON,Betton,Betton,3503,
COM,35032,53,35,35D,353,0,BOURGBARRE,Bourgbarré,Bourgbarré,3512,
COM,35039,53,35,35D,353,0,BRECE,Brécé,Brécé,3513,
COM,35047,53,35,35D,353,0,BRUZ,Bruz,Bruz,3504,
COM,35051,53,35,35D,353,0,CESSON SEVIGNE,Cesson-Sévigné,Cesson-Sévigné,3503,
COM,35055,53,35,35D,353,0,CHANTEPIE,Chantepie,Chantepie,3520,
COM,35058,53,35,35D,353,3,CHAPELLE CHAUSSEE,Chapelle-Chaussée,La Chapelle-Chaussée,3515,
COM,35059,53,35,35D,353,3,CHAPELLE DES FOUGERETZ,Chapelle-des-Fougeretz,La Chapelle-des-Fougeretz,3503,
COM,35065,53,35,35D,353,3,CHAPELLE THOUARAULT,Chapelle-Thouarault,La Chapelle-Thouarault,3524,
COM,35066,53,35,35D,353,0,CHARTRES DE BRETAGNE,Chartres-de-Bretagne,Chartres-de-Bretagne,3504,
COM,35076,53,35,35D,353,0,CHAVAGNE,Chavagne,Chavagne,3524,
COM,35079,53,35,35D,353,0,CHEVAIGNE,Chevaigné,Chevaigné,3503,
COM,35080,53,35,35D,353,0,CINTRE,Cintré,Cintré,3524,
COM,35081,53,35,35D,353,0,CLAYES,Clayes,Clayes,3514,
COM,35088,53,35,35D,353,0,CORPS NUDS,Corps-Nuds,Corps-Nuds,3512,
COM,35120,53,35,35D,353,0,GEVEZE,Gévezé,Gévezé,3514,
COM,35131,53,35,35D,353,5,HERMITAGE,Hermitage,L'Hermitage,3524,
COM,35139,53,35,35D,353,0,LAILLE,Laillé,Laillé,3504,
COM,35144,53,35,35D,353,0,LANGAN,Langan,Langan,3515,
COM,35180,53,35,35D,353,0,MINIAC SOUS BECHEREL,Miniac-sous-Bécherel,Miniac-sous-Bécherel,3515,
COM,35189,53,35,35D,353,0,MONTGERMONT,Montgermont,Montgermont,3503,
COM,35196,53,35,35D,353,0,MORDELLES,Mordelles,Mordelles,3524,
COM,35204,53,35,35D,353,0,NOUVOITOU,Nouvoitou,Nouvoitou,3512,
COM,35206,53,35,35D,353,0,NOYAL CHATILLON SUR SEICHE,Noyal-Châtillon-sur-Seiche,Noyal-Châtillon-sur-Seiche,3504,
COM,35208,53,35,35D,353,1,ORGERES,Orgères,Orgères,3512,
COM,35210,53,35,35D,353,0,PACE,Pacé,Pacé,3523,
COM,35216,53,35,35D,353,0,PARTHENAY DE BRETAGNE,Parthenay-de-Bretagne,Parthenay-de-Bretagne,3514,
COM,35238,53,35,35D,353,0,RENNES,Rennes,Rennes,3598,
COM,35240,53,35,35D,353,2,RHEU,Rheu,Le Rheu,3524,
COM,35245,53,35,35D,353,0,ROMILLE,Romillé,Romillé,3515,
COM,35250,53,35,35D,353,0,SAINT ARMEL,Saint-Armel,Saint-Armel,3512,
COM,35266,53,35,35D,353,0,SAINT ERBLON,Saint-Erblon,Saint-Erblon,3512,
COM,35275,53,35,35D,353,0,SAINT GILLES,Saint-Gilles,Saint-Gilles,3514,
COM,35278,53,35,35D,353,0,SAINT GREGOIRE,Saint-Grégoire,Saint-Grégoire,3503,
COM,35281,53,35,35D,353,0,SAINT JACQUES DE LA LANDE,Saint-Jacques-de-la-Lande,Saint-Jacques-de-la-Lande,3522,
COM,35315,53,35,35D,353,0,SAINT SULPICE LA FORET,Saint-Sulpice-la-Forêt,Saint-Sulpice-la-Forêt,3513,
COM,35334,53,35,35D,353,0,THORIGNE FOUILLARD,Thorigné-Fouillard,Thorigné-Fouillard,3513,
COM,35351,53,35,35D,353,2,VERGER,Verger,Le Verger,3524,
COM,35352,53,35,35D,353,0,VERN SUR SEICHE,Vern-sur-Seiche,Vern-sur-Seiche,3512,
COM,35353,53,35,35D,353,0,VEZIN LE COQUET,Vezin-le-Coquet,Vezin-le-Coquet,3524,
COM,35363,53,35,35D,353,0,PONT PEAN,Pont-Péan,Pont-Péan,3504,
COM,36196,24,36,36D,361,0,SAINT GILLES,Saint-Gilles,Saint-Gilles,3612,
COM,50483,28,50,50D,504,0,SAINT GILLES,Saint-Gilles,Saint-Gilles,5022,
COM,51484,44,51,51D,513,0,SAINT GILLES,Saint-Gilles,Saint-Gilles,5109,
COM,53042,52,53,53D,533,0,BRECE,Brecé,Brecé,5307,
COM,53214,52,53,53D,531,0,SAINT ERBLON,Saint-Erblon,Saint-Erblon,5304,
COM,56205,53,56,56D,563,0,SAINT ARMEL,Saint-Armel,Saint-Armel,5618,
COM,61317,28,61,61D,613,1,ORGERES,Orgères,Orgères,6121,
COM,61321,28,61,61D,611,0,PACE,Pacé,Pacé,6110,
COM,71425,27,71,71D,712,0,SAINT GILLES,Saint-Gilles,Saint-Gilles,7104,
COM,81253,76,81,81D,811,0,SAINT GREGOIRE,Saint-Grégoire,Saint-Grégoire,8105,
