code_commune,id_question,id_service,nom_service,description,url_lien
35196,52,71,Que faire de mes objets et déchets&#8239;?,"L'ADEME met à votre disposition une carte interactive, consultable via le lien ci-dessus, qui montre les boutiques et ateliers proposant des services de réparation dans la métropole Rennes Métropole. Cliquez sur un symbole pour afficher les coordonnées du lieu, ses labels éventuels et le détail des réparations prises en charge. Le symbole sera orné d'une petite pastille jaune marquée du signe <q>&nbsp;%&nbsp;</q> si le lieu propose le Bonus Réparation. Vous pourrez aussi définir des critères de recherche plus précis, comme le type d’objet à réparer (électroménager, téléphone, textile, chaussures, vélo…).",https://quefairedemesdechets.ademe.fr/carte?action_list=reparer&epci_codes=243500139&limit=300
35001,57,76,Observatoire de la production bio,"Publiées par l'Agence Bio, les statistiques de l'Observatoire de la production bio rendent compte du développement de l'agriculture biologique dans la métropole Rennes Métropole&nbsp;: évolution du nombre de fermes engagées en bio au fil des années, part des surfaces bio, répartition géographique, types de cultures et cheptels bio, ou encore présence d'entreprises de l'aval certifiées bio.",https://www.agencebio.org/observatoire-de-la-production-bio-sur-votre-territoire/?level=epci&area=243500139
35120,57,76,Observatoire de la production bio,"Publiées par l'Agence Bio, les statistiques de l'Observatoire de la production bio rendent compte du développement de l'agriculture biologique dans la métropole Rennes Métropole&nbsp;: évolution du nombre de fermes engagées en bio au fil des années, part des surfaces bio, répartition géographique, types de cultures et cheptels bio, ou encore présence d'entreprises de l'aval certifiées bio.",https://www.agencebio.org/observatoire-de-la-production-bio-sur-votre-territoire/?level=epci&area=243500139
35204,57,76,Observatoire de la production bio,"Publiées par l'Agence Bio, les statistiques de l'Observatoire de la production bio rendent compte du développement de l'agriculture biologique dans la métropole Rennes Métropole&nbsp;: évolution du nombre de fermes engagées en bio au fil des années, part des surfaces bio, répartition géographique, types de cultures et cheptels bio, ou encore présence d'entreprises de l'aval certifiées bio.",https://www.agencebio.org/observatoire-de-la-production-bio-sur-votre-territoire/?level=epci&area=243500139
35200,52,71,Que faire de mes objets et déchets&#8239;?,"L'ADEME met à votre disposition une carte interactive, consultable via le lien ci-dessus, qui montre les boutiques et ateliers proposant des services de réparation dans la communauté d'agglomération Vitré Communauté. Cliquez sur un symbole pour afficher les coordonnées du lieu, ses labels éventuels et le détail des réparations prises en charge. Le symbole sera orné d'une petite pastille jaune marquée du signe <q>&nbsp;%&nbsp;</q> si le lieu propose le Bonus Réparation. Vous pourrez aussi définir des critères de recherche plus précis, comme le type d’objet à réparer (électroménager, téléphone, textile, chaussures, vélo…).",https://quefairedemesdechets.ademe.fr/carte?action_list=reparer&epci_codes=200039022&limit=300
35245,6,9,Sispea,"Le site Sispea de l'Observatoire national des services d'eau et d'assainissement vous informe sur les services d'eau potable et d'assainissement à Romillé&nbsp;: gestionnaire, mode de gestion, évolution des prix depuis&nbsp;2008, qualité de l'eau.",https://www.services.eaufrance.fr/commune/35245/
35235,57,76,Observatoire de la production bio,"Publiées par l'Agence Bio, les statistiques de l'Observatoire de la production bio rendent compte du développement de l'agriculture biologique dans la communauté d'agglomération Vitré Communauté&nbsp;: évolution du nombre de fermes engagées en bio au fil des années, part des surfaces bio, répartition géographique, types de cultures et cheptels bio, ou encore présence d'entreprises de l'aval certifiées bio.",https://www.agencebio.org/observatoire-de-la-production-bio-sur-votre-territoire/?level=epci&area=200039022
35039,2,3,Géoportail de l’urbanisme – carte interactive,"La carte interactive du Géoportail de l’urbanisme propose une représentation visuelle des règles définies par les documents d’urbanisme en vigueur à Brécé, et des servitudes applicables. Elle permet aussi de télécharger ces documents.",https://www.geoportail-urbanisme.gouv.fr/map/#tile=1&lon=-1.48981016587265&lat=48.110479219287000&zoom=13&mlon=-1.490379&mlat=48.109146
35210,54,73,Envergo,"Le simulateur Envergo vous permet en quelques clics de vérifier si votre projet situé à Pacé est concerné par une réglementation environnementale. En sélectionnant sur la carte la localisation exacte de votre projet, et en renseignant ses principales caractéristiques dans le formulaire proposé, vous obtiendrez les procédures à suivre ainsi que les contacts de l'administration.",https://envergo.beta.gouv.fr/simulateur/formulaire/?address=Pac%C3%A9+%2835%29&lng=-1.77276&lat=48.14669&mtm_campaign=service-vq
35150,29,32,Observatoire.covoiturage.gouv.fr,"Découvrez sur le site de l'Observatoire national du covoiturage quotidien combien de trajets en covoiturage courte distance ont été réalisés au cours du dernier mois depuis ou vers Lécousse, ainsi que les caractéristiques de ces déplacements&nbsp;: nombre de passagers par véhicule, jours, horaires, origines, destinations... Notez que les chiffres présentés ne prennent en compte que les trajets organisés par l'intermédiaire de plateformes de covoiturage courte distance, qui ne représentent qu'une fraction des trajets covoiturés.",https://observatoire.covoiturage.gouv.fr/observatoire/territoire/?code=35150&type=com
35281,29,32,Observatoire.covoiturage.gouv.fr,"Découvrez sur le site de l'Observatoire national du covoiturage quotidien combien de trajets en covoiturage courte distance ont été réalisés au cours du dernier mois depuis ou vers Saint-Jacques-de-la-Lande, ainsi que les caractéristiques de ces déplacements&nbsp;: nombre de passagers par véhicule, jours, horaires, origines, destinations... Notez que les chiffres présentés ne prennent en compte que les trajets organisés par l'intermédiaire de plateformes de covoiturage courte distance, qui ne représentent qu'une fraction des trajets covoiturés.",https://observatoire.covoiturage.gouv.fr/observatoire/territoire/?code=35281&type=com
35245,52,71,Que faire de mes objets et déchets&#8239;?,"L'ADEME met à votre disposition une carte interactive, consultable via le lien ci-dessus, qui montre les boutiques et ateliers proposant des services de réparation dans la métropole Rennes Métropole. Cliquez sur un symbole pour afficher les coordonnées du lieu, ses labels éventuels et le détail des réparations prises en charge. Le symbole sera orné d'une petite pastille jaune marquée du signe <q>&nbsp;%&nbsp;</q> si le lieu propose le Bonus Réparation. Vous pourrez aussi définir des critères de recherche plus précis, comme le type d’objet à réparer (électroménager, téléphone, textile, chaussures, vélo…).",https://quefairedemesdechets.ademe.fr/carte?action_list=reparer&epci_codes=243500139&limit=300
35022,2,3,Géoportail de l’urbanisme – carte interactive,"La carte interactive du Géoportail de l’urbanisme propose une représentation visuelle des règles définies par les documents d’urbanisme en vigueur à Bécherel, et des servitudes applicables. Elle permet aussi de télécharger ces documents.",https://www.geoportail-urbanisme.gouv.fr/map/#tile=1&lon=-1.94286363426759&lat=48.296297199588400&zoom=13&mlon=-1.942624&mlat=48.295964
35200,24,25,Vigicrues – bulletin de vigilance crues,"Le bulletin de vigilance crues indique le niveau de vigilance maximum dans le territoire Vilaine-Côtiers Bretons, dont relève Moutiers. Le cas échéant, il précise la chronologie et l'évolution des crues, informe de leurs conséquences possibles et fournit des conseils de comportement définis par les pouvoirs publics en fonction du danger susceptible de se produire.",https://www.vigicrues.gouv.fr/bulletin_local/8
35230,57,76,Observatoire de la production bio,"Publiées par l'Agence Bio, les statistiques de l'Observatoire de la production bio rendent compte du développement de l'agriculture biologique dans la communauté d'agglomération Fougères Agglomération&nbsp;: évolution du nombre de fermes engagées en bio au fil des années, part des surfaces bio, répartition géographique, types de cultures et cheptels bio, ou encore présence d'entreprises de l'aval certifiées bio.",https://www.agencebio.org/observatoire-de-la-production-bio-sur-votre-territoire/?level=epci&area=200072452
35001,48,57,Dynmark,"Sous réserve d'un nombre de ventes suffisant, le site Dynmark du Cerema permet de visualiser l'évolution depuis 2010 du prix de vente médian au m<sup>2</sup> pour un appartement ou une maison située à Acigné. En naviguant sur la page, vous pourrez consulter d'autres indicateurs de la dynamique du marché de l'immobilier à Acigné, comme le nombre de ventes ou, en sélectionnant l'analyse <q>&nbsp;Activité du marché&nbsp;</q>, la part de logements ayant fait l'objet d'une vente. Dynmark propose aussi des représentations cartographiques à l'échelle intercommunale et permet d'effectuer des comparaisons entre territoires.",https://dataviz.cerema.fr/dynmark/?perimetre=comm&codeinsee=35001
35059,2,3,Géoportail de l’urbanisme – carte interactive,"La carte interactive du Géoportail de l’urbanisme propose une représentation visuelle des règles définies par les documents d’urbanisme en vigueur à La Chapelle-des-Fougeretz, et des servitudes applicables. Elle permet aussi de télécharger ces documents.",https://www.geoportail-urbanisme.gouv.fr/map/#tile=1&lon=-1.74131420165385&lat=48.177081305286300&zoom=13&mlon=-1.741616&mlat=48.177865
35055,22,22,Cartofriches,Cartofriches localise sur une carte interactive les friches du territoire de Chantepie. Les données sont issues de bases nationales consolidées et complétées par des recensements réalisés par les acteurs locaux.,"https://cartofriches.cerema.fr/cartofriches/_w_aadfb322/_w_c48343f8/?bbox=-1.6496535765486,48.0662381875330,-1.5631261080006,48.0999328881588"
35238,22,22,Cartofriches,Cartofriches localise sur une carte interactive les friches du territoire de Rennes. Les données sont issues de bases nationales consolidées et complétées par des recensements réalisés par les acteurs locaux.,"https://cartofriches.cerema.fr/cartofriches/_w_aadfb322/_w_c48343f8/?bbox=-1.7525279367111,48.0768799774963,-1.6243591167365,48.1549886944538"
