journey_id,trip_id,journey_start_datetime,journey_start_date,journey_start_time,journey_start_lon,journey_start_lat,journey_start_insee,journey_start_postalcode,journey_start_department,journey_start_town,journey_start_towngroup,journey_start_country,journey_end_datetime,journey_end_date,journey_end_time,journey_end_lon,journey_end_lat,journey_end_insee,journey_end_postalcode,journey_end_department,journey_end_town,journey_end_towngroup,journey_end_country,passenger_seats,operator_class,journey_distance,journey_duration,has_incentive
5040310,298fe405-d43e-450f-80f8-a12567ebb85b,2021-11-01T17:40:00+01:00,2021-11-01,17:40:00,-1.74,48.04,35047,35170,35,Bruz (35),Rennes Metropole,France,2021-11-01T17:50:00+01:00,2021-11-01,17:50:00,-1.68,48.11,35238,35000,35,Rennes (35),Rennes Metropole,France,1,A,9447,13,OUI
5018808,e38ea749-ed16-49a9-af72-609864cd8e25,2021-11-02T04:30:00+01:00,2021-11-02,04:30:00,-1.48,47.95,35136,35150,35,Janzé (35),,France,2021-11-02T05:00:00+01:00,2021-11-02,05:00:00,-1.22,47.93,35125,35130,35,La Guerche-de-Bretagne (35),Vitre Communaute,France,1,C,24323,30,OUI
5044008,2e5d35a6-464a-4f56-9818-67bf60ddc1b8,2021-11-02T06:10:00+01:00,2021-11-02,06:10:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-11-02T07:20:00+01:00,2021-11-02,07:20:00,-1.58,47.26,44114,44700,44,Orvault (44),Nantes Metropole,France,1,C,97476,68,OUI
5044000,2e5d35a6-464a-4f56-9818-67bf60ddc1b8,2021-11-02T06:10:00+01:00,2021-11-02,06:10:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-11-02T07:20:00+01:00,2021-11-02,07:20:00,-1.58,47.26,44114,44700,44,Orvault (44),Nantes Metropole,France,1,C,97476,68,OUI
5044459,d2961d2b-48fb-44be-bc3d-5b277a98318e,2021-11-02T06:50:00+01:00,2021-11-02,06:50:00,-1.69,47.97,35139,35890,35,Laillé (35),Rennes Metropole,France,2021-11-02T07:10:00+01:00,2021-11-02,07:10:00,-1.57,48.14,35334,35235,35,Thorigné-Fouillard (35),Rennes Metropole,France,1,B,24251,20,OUI
5044183,c598d2b1-7ecf-41db-a715-0c544ea409a6,2021-11-02T07:00:00+01:00,2021-11-02,07:00:00,-1.84,48.07,35196,35310,35,Mordelles (35),Rennes Metropole,France,2021-11-02T07:40:00+01:00,2021-11-02,07:40:00,-2.38,47.91,56165,56800,56,Ploërmel (56),,France,1,C,50109,35,OUI
5044680,37773b5b-595c-41af-b646-8d69b462e756,2021-11-02T07:00:00+01:00,2021-11-02,07:00:00,-1.69,48.13,35278,35760,35,Saint-Grégoire (35),Rennes Metropole,France,2021-11-02T07:30:00+01:00,2021-11-02,07:30:00,-1.41,48.25,35253,35140,35,Saint-Aubin-du-Cormier (35),,France,1,C,27841,20,OUI
5044454,3b3df783-e330-4e83-aaf3-5d9cf0df0735,2021-11-02T07:00:00+01:00,2021-11-02,07:00:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-11-02T07:50:00+01:00,2021-11-02,07:50:00,-0.79,48.06,53130,53000,53,Laval (53),Communaute D'Agglomeration De Laval,France,1,C,73387,54,OUI
5044310,3b3df783-e330-4e83-aaf3-5d9cf0df0735,2021-11-02T07:00:00+01:00,2021-11-02,07:00:00,-1.73,48.05,35047,35170,35,Bruz (35),Rennes Metropole,France,2021-11-02T08:00:00+01:00,2021-11-02,08:00:00,-0.78,48.07,53130,53000,53,Laval (53),Communaute D'Agglomeration De Laval,France,1,C,79542,59,OUI
5044154,1c520865-70b4-42a5-8c60-570d30440a91,2021-11-02T07:00:00+01:00,2021-11-02,07:00:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-11-02T08:10:00+01:00,2021-11-02,08:10:00,-1.58,47.26,44114,44700,44,Orvault (44),Nantes Metropole,France,1,B,97476,68,OUI
5044239,5cfc5b86-b8a0-429c-b3bb-8025fb7a7297,2021-11-02T07:10:00+01:00,2021-11-02,07:10:00,-1.67,48.09,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-11-02T07:50:00+01:00,2021-11-02,07:50:00,-1.20,48.11,35360,35500,35,Vitré (35),Vitre Communaute,France,1,B,39348,36,OUI
5044564,a418773d-45ce-4c2f-ac8c-5ea31a99069f,2021-11-02T07:10:00+01:00,2021-11-02,07:10:00,-1.72,48.10,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-11-02T08:10:00+01:00,2021-11-02,08:10:00,-0.80,48.06,53201,53940,53,Saint-Berthevin (53),Communaute D'Agglomeration De Laval,France,1,B,77948,56,OUI
5044664,07ec164a-8496-4012-95bd-c03870e06f3d,2021-11-02T07:20:00+01:00,2021-11-02,07:20:00,-1.84,48.07,35196,35310,35,Mordelles (35),Rennes Metropole,France,2021-11-02T07:40:00+01:00,2021-11-02,07:40:00,-1.73,48.10,35353,35132,35,Vezin-le-Coquet (35),Rennes Metropole,France,1,C,10762,11,OUI
5020268,1e2a21fe-e3c5-4558-b4d2-6f46232b227a,2021-11-02T07:20:00+01:00,2021-11-02,07:20:00,-1.83,48.07,35196,35310,35,Mordelles (35),Rennes Metropole,France,2021-11-02T07:50:00+01:00,2021-11-02,07:50:00,-1.69,48.14,35278,35760,35,Saint-Grégoire (35),Rennes Metropole,France,1,C,16420,23,OUI
5045496,85ec7e93-51e8-4eee-830e-073e186bd27e,2021-11-02T07:30:00+01:00,2021-11-02,07:30:00,-1.69,48.12,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-11-02T08:10:00+01:00,2021-11-02,08:10:00,-1.20,48.12,35360,35500,35,Vitré (35),Vitre Communaute,France,1,C,44585,39,OUI
5045505,19ceec66-d95c-477d-85c7-6593b1948afa,2021-11-02T07:30:00+01:00,2021-11-02,07:30:00,-1.48,48.10,35039,35530,35,Brécé (35),Rennes Metropole,France,2021-11-02T07:50:00+01:00,2021-11-02,07:50:00,-1.69,48.15,35278,35760,35,Saint-Grégoire (35),Rennes Metropole,France,1,C,20720,18,OUI
5045137,9d798ac9-d69f-41aa-a110-a44ca607a734,2021-11-02T07:30:00+01:00,2021-11-02,07:30:00,-1.67,48.11,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-11-02T08:20:00+01:00,2021-11-02,08:20:00,-2.39,47.93,56165,56800,56,Ploërmel (56),,France,1,B,67786,53,OUI
5045062,886434aa-5077-4d25-8202-3ed32ada7fe9,2021-11-02T07:40:00+01:00,2021-11-02,07:40:00,-1.70,48.09,35281,35136,35,Saint-Jacques-de-la-Lande (35),Rennes Metropole,France,2021-11-02T08:30:00+01:00,2021-11-02,08:30:00,-2.04,48.45,22050,22100,22,Dinan (22),Communaute D'Agglomeration Dinan Agglomeration,France,1,C,56774,45,OUI
5020833,483395bf-521c-4546-ac12-e51e727a05bb,2021-11-02T07:40:00+01:00,2021-11-02,07:40:00,-1.61,48.11,35051,35510,35,Cesson-Sévigné (35),Rennes Metropole,France,2021-11-02T08:40:00+01:00,2021-11-02,08:40:00,-0.85,48.07,53201,53940,53,Saint-Berthevin (53),Communaute D'Agglomeration De Laval,France,1,B,61528,61,OUI
5045043,6256f6a2-c729-4c7b-bc83-d23d0fb8e03f,2021-11-02T07:40:00+01:00,2021-11-02,07:40:00,-1.61,48.10,35051,35510,35,Cesson-Sévigné (35),Rennes Metropole,France,2021-11-02T08:30:00+01:00,2021-11-02,08:30:00,-0.83,48.06,53201,53940,53,Saint-Berthevin (53),Communaute D'Agglomeration De Laval,France,1,C,61187,47,OUI
