journey_id,trip_id,journey_start_datetime,journey_start_date,journey_start_time,journey_start_lon,journey_start_lat,journey_start_insee,journey_start_postalcode,journey_start_department,journey_start_town,journey_start_towngroup,journey_start_country,journey_end_datetime,journey_end_date,journey_end_time,journey_end_lon,journey_end_lat,journey_end_insee,journey_end_postalcode,journey_end_department,journey_end_town,journey_end_towngroup,journey_end_country,passenger_seats,operator_class,journey_distance,journey_duration,has_incentive
3784522,572c2a12-032b-4f77-89b1-5850ec9dfaaa,2020-11-01T03:10:00+01:00,2020-11-01,03:10:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2020-11-01T04:20:00+01:00,2020-11-01,04:20:00,-2.51,48.46,22093,22400,22,Lamballe-Armor (22),Communaute De Communes Lamballe Terre-Mer,France,1,B,82360,62,NON
3785080,a42fd7e3-2504-4244-8189-629ddddd24b2,2020-11-02T05:30:00+01:00,2020-11-02,05:30:00,-1.65,48.12,35238,35000,35,Rennes (35),Rennes Metropole,France,2020-11-02T07:00:00+01:00,2020-11-02,07:00:00,-1.60,47.20,44109,44000,44,Nantes (44),Nantes Metropole,France,1,B,113340,87,NON
3785085,a42fd7e3-2504-4244-8189-629ddddd24b2,2020-11-02T05:40:00+01:00,2020-11-02,05:40:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2020-11-02T06:50:00+01:00,2020-11-02,06:50:00,-1.58,47.26,44114,44700,44,Orvault (44),Nantes Metropole,France,1,B,97790,69,NON
3785429,b87a689d-9263-4bea-85ea-353e83d1b522,2020-11-02T06:40:00+01:00,2020-11-02,06:40:00,-1.82,48.15,35275,35590,35,Saint-Gilles (35),Rennes Metropole,France,2020-11-02T07:10:00+01:00,2020-11-02,07:10:00,-1.62,48.09,35238,35000,35,Rennes (35),Rennes Metropole,France,1,C,21954,21,NON
3785300,dd4e1334-41df-47b6-9dc9-c13501456397,2020-11-02T07:00:00+01:00,2020-11-02,07:00:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2020-11-02T08:10:00+01:00,2020-11-02,08:10:00,-1.58,47.26,44114,44700,44,Orvault (44),Nantes Metropole,France,1,C,97476,68,NON
3785360,dd4e1334-41df-47b6-9dc9-c13501456397,2020-11-02T07:00:00+01:00,2020-11-02,07:00:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2020-11-02T08:10:00+01:00,2020-11-02,08:10:00,-1.58,47.26,44114,44700,44,Orvault (44),Nantes Metropole,France,1,C,97476,68,NON
3785459,dd4e1334-41df-47b6-9dc9-c13501456397,2020-11-02T07:00:00+01:00,2020-11-02,07:00:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2020-11-02T08:10:00+01:00,2020-11-02,08:10:00,-1.58,47.26,44114,44700,44,Orvault (44),Nantes Metropole,France,1,B,97476,68,NON
3785239,c10ab82e-9167-456d-bcf7-f16561c54e07,2020-11-02T07:10:00+01:00,2020-11-02,07:10:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2020-11-02T08:20:00+01:00,2020-11-02,08:20:00,-1.58,47.26,44114,44700,44,Orvault (44),Nantes Metropole,France,1,C,97464,68,NON
3785277,a47ae1ee-a24b-4fb2-940f-afa51273c206,2020-11-02T07:10:00+01:00,2020-11-02,07:10:00,-1.71,48.11,35238,35000,35,Rennes (35),Rennes Metropole,France,2020-11-02T08:10:00+01:00,2020-11-02,08:10:00,-2.53,48.46,22093,22400,22,Lamballe-Armor (22),Communaute D'Agglomeration Lamballe Terre-Mer,France,1,B,77283,55,NON
3785488,05077f36-c85b-44a0-8f0d-f748f74a169b,2020-11-02T08:00:00+01:00,2020-11-02,08:00:00,-1.69,48.09,35281,35136,35,Saint-Jacques-de-la-Lande (35),Rennes Metropole,France,2020-11-02T09:00:00+01:00,2020-11-02,09:00:00,-2.39,47.92,56165,56800,56,Ploërmel (56),,France,1,C,67651,52,NON
