SIREN,Nom ou raison sociale de l'entreprise,Famille juridique de l'entreprise,Code postal,Libellé de la commune de l'établissement,Code du département de l'établissement,Département de l'établissement,Région de l'établissement
522842012,AMICALE DE LA POLICE NATIONALE DE RENNES,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
824186613,MPRODUITSLOCAUX,Associations,35230,SAINT-ERBLON,35,ILLE ET VILAINE,BRETAGNE
492849542,L ATELIER DES PETITES MAINS,Associations,35510,CESSON-SEVIGNE,35,ILLE ET VILAINE,BRETAGNE
498862234,USO FOOTBALL,Associations,35230,ORGERES,35,ILLE ET VILAINE,BRETAGNE
428243000,ARTAMUSE,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
442394102,DANSE POUR TOUS,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
910509256,GYOTAKU ART TAKUSEIKAI EUROPE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
824188254,CHRYSALIDES 35 - ASS DES FAMILLES DE POLYHANDICAPES,Associations,35740,PACE,35,ILLE ET VILAINE,BRETAGNE
799550595,CENTRE CHRETIEN GRACE ET UNION,Associations,35200,RENNES,35,ILLE ET VILAINE,BRETAGNE
828765354,ASSOCIATION DE SOLIDARITE ETUDIANTE RENNAISE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
393647359,FORUM SUP DE CO RENNES,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
809323017,FINEA 35 - ILLE ET VILAINE FINANCEMENT,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
419582036,ARTI'COM,Associations,35850,ROMILLE,35,ILLE ET VILAINE,BRETAGNE
797767381,MARIE & COMPAGNIES,Associations,35200,RENNES,35,ILLE ET VILAINE,BRETAGNE
409488996,ASSOCIATION POUR LA RECHERCHE EN ANESTHESIE-REANIMATION,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
891952731,ATLAS,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
880835756,BUCHE TON BOIS,Associations,35235,THORIGNE-FOUILLARD,35,ILLE ET VILAINE,BRETAGNE
880836861,ASSOCIATION TENSEGRITE EN ILLE ET VILAINE PRATIQUE CORPORELLE ET OBSERVATION DE SOI,Associations,35136,SAINT-JACQUES-DE-LA-LANDE,35,ILLE ET VILAINE,BRETAGNE
300109162,SOC HISTOIRE ARCHEOLOGIQUE BRETAGNE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
388383382,ASS GOLF CLUB DE LA FRESLONNIIERE,Associations,35650,LE RHEU,35,ILLE ET VILAINE,BRETAGNE
482822780,TRANSHEPATE RENNES BRETAGNE OUEST,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
809324031,ASSO GOLF ST GREGOIRE,Associations,35760,SAINT-GREGOIRE,35,ILLE ET VILAINE,BRETAGNE
492870175,COMPAGNIE 'CIRKATOM',Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
893577395,FONDS DE DOTATION VAINCRE USHER 2,Fondations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
483885612,ASS INTERDEPART MANCHE ILLE ET VILAINE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
419595137,COMPAGNIE D'ARCHERS DE RENNES,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
532797214,WHAT WOMEN WISH,Associations,35230,NOYAL-CHATILLON-SUR-SEICHE,35,ILLE ET VILAINE,BRETAGNE
339257537,RENNES ETUDIANTS CLUB,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
814016705,ASSOCIATION POUR LE DEVELOPPEMENT DE L'EMPLOI AGRICOLE ET RURAL 35,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
833287279,CHANTEPIE INITIATIVES - ASSOCIATION CITOYENNE,Associations,35135,CHANTEPIE,35,ILLE ET VILAINE,BRETAGNE
303322416,COMITE BRETAGNE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
431753292,MUTUELLE DE FRANCE D'ILLE ET VILAINE,Mutuelles,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
834442568,TIRAGE DE TETES,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
411506538,ASS TRANSFERT TECHNOLOGIQUE INFORMATIQUE,Associations,35131,CHARTRES-DE-BRETAGNE,35,ILLE ET VILAINE,BRETAGNE
