Identifiant,URL,Titre,Description,Description longue,Détail des conditions,Mots clés,Dernière mise à jour,Résumé horaires,Première date - Début,Première date - Fin,Dernière date - Début,Dernière date - Fin,Horaires détaillés,Code d'accessibilité,Accessibilité,Identifiant du lieu,Coordonnées géographiques,Nom du lieu,Adresse,Arrondissement,Code INSEE,Code postal,Ville,Région,Département,Site web du lieu,Liens du lieu,Tags du lieu,Description du lieu,Accès / Itinéraire,Lien d'accès en ligne,Age minimum,Age maximum,Agenda d'origine (titre),Agenda d'origine (uid)
16090105,https://openagenda.com/jep/events/petites-visites-des-expositions-4855158,Petites visites des expositions,Journées européennes du patrimoine 2023,<p>Vous n’avez pas encore eu l’occasion de venir visiter l’exposition Art is Magic ? Vous ne saviez pas que le Frac Bretagne était gothique ? Ces courtes visites thématiques sont faites pour vous.</p>,"Réservation sur place le jour de l’événement, dans la limite des places disponibles.",,2023-09-23T15:41:56+02:00,16 et 17 septembre,2023-09-16T14:00:00+02:00,2023-09-16T14:30:00+02:00,2023-09-17T18:00:00+02:00,2023-09-17T18:30:00+02:00,"[{""begin"": ""2023-09-16T14:00:00+02:00"", ""end"": ""2023-09-16T14:30:00+02:00""}, {""begin"": ""2023-09-16T15:00:00+02:00"", ""end"": ""2023-09-16T15:30:00+02:00""}, {""begin"": ""2023-09-16T16:00:00+02:00"", ""end"": ""2023-09-16T16:30:00+02:00""}, {""begin"": ""2023-09-16T17:00:00+02:00"", ""end"": ""2023-09-16T17:30:00+02:00""}, {""begin"": ""2023-09-16T18:00:00+02:00"", ""end"": ""2023-09-16T18:30:00+02:00""}, {""begin"": ""2023-09-17T14:00:00+02:00"", ""end"": ""2023-09-17T14:30:00+02:00""}, {""begin"": ""2023-09-17T15:00:00+02:00"", ""end"": ""2023-09-17T15:30:00+02:00""}, {""begin"": ""2023-09-17T16:00:00+02:00"", ""end"": ""2023-09-17T16:30:00+02:00""}, {""begin"": ""2023-09-17T17:00:00+02:00"", ""end"": ""2023-09-17T17:30:00+02:00""}, {""begin"": ""2023-09-17T18:00:00+02:00"", ""end"": ""2023-09-17T18:30:00+02:00""}]",mi,handicap moteur,10845079,"48.131388, -1.695113","Frac Bretagne, Fonds Régional d'Art Contemporain","19 avenue André Mussat, Rennes, 35011",,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,http://www.fracbretagne.fr,,"Musée, salle d'exposition","Crédits de l'Image : Odile Decq
Région Bretagne - Roland Halbe",,,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
17036492,https://openagenda.com/jep/events/la-maison-provinciale-des-filles-de-jesus,Découvrez le bâtiment de La maison provinciale des Filles de Jésus,Journées européennes du patrimoine 2023,"<p>L’exposition des œuvres de Lise Mazo est l’occasion de découvrir le bâtiment qui héberge l’atelier de l’artiste à la Maison Provinciale des Filles de Jésus situé au 17 bd Magenta à Rennes, en plein centre ville. Il a été construit en 1993 tout exprès pour la congrégation par l’architecte rennais Hervé Perrin. Un édifice de béton brut percé de fines vitres rarement ouvert au public. « Son intériorité, en opposition avec l’agitation du quartier, interpelle par son calme monacal, sa lumière éthérée et sa matérialité première » fait valoir l’architecte.</p>",,,2023-09-23T16:33:09+02:00,16 et 17 septembre,2023-09-16T09:00:00+02:00,2023-09-16T12:00:00+02:00,2023-09-17T14:00:00+02:00,2023-09-17T17:00:00+02:00,"[{""begin"": ""2023-09-16T09:00:00+02:00"", ""end"": ""2023-09-16T12:00:00+02:00""}, {""begin"": ""2023-09-16T14:00:00+02:00"", ""end"": ""2023-09-16T17:00:00+02:00""}, {""begin"": ""2023-09-17T09:00:00+02:00"", ""end"": ""2023-09-17T12:00:00+02:00""}, {""begin"": ""2023-09-17T14:00:00+02:00"", ""end"": ""2023-09-17T17:00:00+02:00""}]",mi,handicap moteur,13108527,"48.105967, -1.673902",La Maison provinciale des Filles de Jésus,17 boulevard Magenta,Centre,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,https://www.fillesdejesus.org/espace-lise-mazo/,,Ouverture exceptionnelle;Architecture contemporaine remarquable;Édifice religieux,,,,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
58166100,https://openagenda.com/jep/events/anniversaire-des-150-ans-de-leglise-de-chartres-de-bretagne,Anniversaire des 150 ans de l'église de Chartres de Bretagne,Journées européennes du patrimoine 2023,"<p>Commémoration des 150 ans de l’église de Chartres-de-Bretagne dont l’architecte a été, comme pour beaucoup d’églises en Ille-et-Vilaine, Arthur Régnault.<br />Outre l’histoire de la paroisse illustrée par des documents d’archives, nous présenterons l’exposition : « Arthur Régnault, architecte-voyageur » réalisée par le service des archives départementales d’Ille-et-Vilaine et composée de 15 panneaux.</p>","Les visites sont gratuites, libres et pourront être commentées en fonction des groupes.",,2023-09-23T16:52:45+02:00,16 et 17 septembre,2023-09-16T14:00:00+02:00,2023-09-16T18:00:00+02:00,2023-09-17T09:00:00+02:00,2023-09-17T13:00:00+02:00,"[{""begin"": ""2023-09-16T14:00:00+02:00"", ""end"": ""2023-09-16T18:00:00+02:00""}, {""begin"": ""2023-09-17T09:00:00+02:00"", ""end"": ""2023-09-17T13:00:00+02:00""}]",,,78969190,"48.041926, -1.704313",Eglise Notre Dame de l'Assomption - Chartres de Bretagne,"rue de la Poterie, 35131, Chartres-de-Bretagne",,35066,35131,Chartres-de-Bretagne,Bretagne,Ille-et-Vilaine,,,Site patrimonial remarquable;Première participation;Édifice religieux,"Au XIIème et au XIIIème siècle, la paroisse s'appelait Fontenay et avait vraisemblablement pour église l'antique chapelle du château de ce nom.
Le culte paroissial fut transféré vers la fin du XIIIème siècle ou au début du XIVème siècle, dans la chapelle de la Retenue ou de la Métairie de Chartres, qui dépendait de l'Abbaye de Saint-Melaine de Rennes.
Le siège paroissial s'est fixé au vieux Bourg de Chartres, mais c'est près de Fontenay, que vont se développer progressivement les ateliers des potiers. Ainsi, au début du XIXème siècle, les potiers du village de la Poterie forment la part la plus importante de la population et le Bourg de Chartres est en déclin.
Le déplacement du centre paroissial est envisagé dès 1820, puis 1846-1850. Mais ce n'est qu'à partir de 1869 qu'il sera réalisé sur le lieu-dit ""La Gibouine"" jouxtant le Village de la Poterie. La paroisse conservera sa dénomination : paroisse de Chartres
Les plans de l'église ont été dressés par Arthur Regnault et la conduite des travaux a été assurée par l'entreprise Rouxel
Le style néogothique quasiment officiel que l'architecte emploie ici en début de carrière, demeure un exemple peu habituel dans l'importante production architecturale d'Arthur Regnault, en particulier dans tout le diocèse de Rennes. La flèche est construite un peu plus tard en 1887.
La nouvelle église, placée sous le vocable de Notre-Dame est bénie par Monseigneur Brossay Saint-Marc le 2 octobre 1873.
L'église se compose d'une simple croix avec voûte d'arrêt et chevet droit, ouvert de 3 baies. L'autel en pierre blanche (XIXème siècle, oeuvre du sculpteur Charles Goupil), les stalles en châtaignier sculpté.
Dans les transepts, des verrières représentant la vie de la Sainte Vierge, la Passion du Sauveur. Le chevet comporte aussi trois verrières représentant Notre-Dame et son couronnement, Saint-Martin et Saint-Paul.",,,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
19602943,https://openagenda.com/jep/events/la-restauration-des-archives-pour-tous,La restauration des archives pour tous,Journées européennes du patrimoine 2023,"<p><strong>La restauration des archives pour tous</strong><br />Plusieurs animations et jeux pour comprendre l’importance de la conservation des archives</p>
<p></p>
<ul>
<li><strong>Apprentis restaurateurs</strong></li>
</ul>
<p></p>
<p>Découvrez comment restaurer des documents rares et précieux au sein même des ateliers de restauration des Archives départementales ! Avec Manon, notre restauratrice, vous apprendrez durant une heure, en famille, les gestes qui sauvent les archives.<br /><em>Samedi 16 à 10h (créneau réservé LSF) - Samedi 16 et dimanche 17 septembre, 3 créneaux à 14h, 15h30 et 17h<br />RV dans le hall principal du bâtiment<br />Le créneau du samedi matin sera signé en Langue des Signes Française<br />A partir de 7 ans - Groupe de 8 personnes<br />Inscription conseillée au 02 99 02 30 50 ou par mail :</em> <a href=""mailto:rencontres.archives@ille-et-vilaine.fr""><em><a href=""mailto:rencontres.archives@ille-et-vilaine.fr"">rencontres.archives@ille-et-vilaine.fr</a></em></a></p>
<p></p>
<ul>
<li><strong>Archiver, c’est gagner !</strong></li>
</ul>
<p></p>
<p>Jouez avec les archives autour d’un beau plateau de jeu de l’oie et gagnez de jolies surprises !<br />Animation pour les grands et les petits (jeune public à partir de 10 ans)<br />Les plus jeunes pourront également reconstituer des puzzles géants des Archives figurant la restauration.<br />Tout public – en continu - cafétéria</p>",Inscription conseillée par mail ou téléphone / Programme détaillé des animations proposées sur archives.ille-et-vilaine.fr,,2023-09-19T12:46:34+02:00,16 et 17 septembre,2023-09-16T10:00:00+02:00,2023-09-16T11:00:00+02:00,2023-09-17T13:30:00+02:00,2023-09-17T18:00:00+02:00,"[{""begin"": ""2023-09-16T10:00:00+02:00"", ""end"": ""2023-09-16T11:00:00+02:00""}, {""begin"": ""2023-09-16T13:30:00+02:00"", ""end"": ""2023-09-16T18:00:00+02:00""}, {""begin"": ""2023-09-17T13:30:00+02:00"", ""end"": ""2023-09-17T18:00:00+02:00""}]",mi,handicap moteur,78599250,"48.12907, -1.69268",Archives Départementales d'Ille et Vilaine,"1 rue Jacques Léonard, 35000, Rennes",Quartiers Nord-Ouest,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,http://archives.ille-et-vilaine.fr/fr,https://www.facebook.com/archives35/,Archives,,,,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
37258171,https://openagenda.com/jep/events/visitas-guiadas-a-la-opera-de-rennes,Visites guidées de l'Opéra de Rennes,Visite guidée de l'Opéra,"<p>L’Opéra<br />XIXe siècle<br />Un siècle après la construction de l’hôtel de ville, Charles Millardet répond au parti incurvé du XVIIIe siècle par la rotondité du théâtre. Placé sous la vigilance des muses posées au faîte de sa façade et sculptées par François Lanno, il présente un plafond intérieur décoré en 1913 par Lemordant, qui figure une farandole bretonne.</p>",sur inscription - limité à 20 personnes par groupes,,2023-09-15T11:50:16+02:00,16 et 17 septembre,2023-09-16T10:00:00+02:00,2023-09-16T16:30:00+02:00,2023-09-17T10:00:00+02:00,2023-09-17T16:30:00+02:00,"[{""begin"": ""2023-09-16T10:00:00+02:00"", ""end"": ""2023-09-16T16:30:00+02:00""}, {""begin"": ""2023-09-17T10:00:00+02:00"", ""end"": ""2023-09-17T16:30:00+02:00""}]",,,94635116,"48.111488, -1.679912",Opéra de Rennes,"Place de l'hôtel de ville, 35000 Rennes",Quartiers Centre,35238,35510,Rennes,Bretagne,Ille-et-Vilaine,https://www.opera-rennes.fr/fr/lhistoire-de-lopera-de-rennes,,"Monument historique;Villes et Pays d'art et d'histoire;Lieu de spectacles, sports et loisirs","Étonné par l’architecture de l’Opéra de Rennes ? Imaginez alors la surprise des Rennais lors de son inauguration en 1836. Charles Millardet répond au parti incurvé du XVIIIe siècle par la rotondité de celui qu’on appelle « Le Théâtre ». Cette façade arrondie, protégée par des muses sculptées par François Lanno, cache en son sein bien d’autres originalités comme un parterre non pas situé au rez-de-chaussée mais au premier étage. Les fameuses 44 marches pour y accéder ont fait la une des journaux de l’époque ! 
Parmi les plus petits opéras de France, découvrez tout ce qu’il a de grand au travers de ses décors et d’une programmation lyrique riche.",,,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
27518549,https://openagenda.com/jep/events/visite-guidee-de-lhotel-de-la-prefecture-de-region-bretagne,Visite guidée de l'hôtel de la préfecture de région Bretagne,Journées européennes du patrimoine 2023,"<p><strong>Visitez l'hôtel de la préfecture de région</strong><br />Chaque année, à l'occasion des Journées européennes du patrimoine, le préfet de la région Bretagne, préfet d'Ille-et-Vilaine, ouvre au public l'hôtel Michau de Ruberso, un hôtel particulier construit au cœur de Rennes en 1720 et remanié dans les années 1870. Un accueil privilégié est réservé aux visiteurs qui peuvent découvrir, sous la conduite d'un guide-conférencier de Destination Rennes, le bâtiment et ses jardins.</p>
<p></p>
<p><em>L'hôtel de la préfecture de région n’est pas adapté aux personnes circulant en fauteuil roulant et aux poussettes.</em></p>",Visite guidée de 45 minutes par groupe de 20 personnes maximum.,,2023-09-23T17:01:17+02:00,"Samedi 16 septembre, 09h30, 14h00",2023-09-16T09:30:00+02:00,2023-09-16T12:15:00+02:00,2023-09-16T14:00:00+02:00,2023-09-16T18:15:00+02:00,"[{""begin"": ""2023-09-16T09:30:00+02:00"", ""end"": ""2023-09-16T12:15:00+02:00""}, {""begin"": ""2023-09-16T14:00:00+02:00"", ""end"": ""2023-09-16T18:15:00+02:00""}]",,,38849290,"48.11347, -1.6749",Hôtel de la préfecture de région Bretagne,"1, rue Martenot, 35000, Rennes",Quartiers Centre,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,http://www.bretagne.gouv.fr,https://twitter.com/bretagnegouv;https://www.facebook.com/prefetbretagne;https://www.pop.culture.gouv.fr/notice/merimee/IA35022164,"Villes et Pays d'art et d'histoire;Château, hôtel urbain, palais, manoir;Espace naturel, parc, jardin;Lieu de pouvoir, édifice judiciaire;Ouverture exceptionnelle","Construit vers 1720 pour le sénéchal de Rennes, puis siège de l'intendance de Bretagne de 1770 à la Révolution, l'hôtel de Ruberso devient, dès le début de l'Empire, la résidence du Préfet. L'édifice, qui conserve jusqu'au milieu du XIXème siècle son plan en équerre et une physionomie sobre, est totalement métamorphosé vers 1875, date à laquelle d'importants travaux lui confèrent l'aspect d'un bâtiment officiel.",Métro Sainte-Anne (lignes a et b),,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
56958676,https://openagenda.com/jep/events/visite-artistes-femmes-daujourdhui,Visite Artistes femmes d'aujourd'hui,Journées européennes du patrimoine 2023,"<p>Artistes femmes d’aujourd’hui<br />Voyage dans l’art entre figuration et abstraction : quand les femmes s’emparent des toiles, des pinceaux ou de médiums actuels.</p>",entrée libre - La visite à 11h est dédiée aux enfants.,,2023-09-23T16:44:29+02:00,16 et 17 septembre,2023-09-16T11:00:00+02:00,2023-09-16T11:30:00+02:00,2023-09-17T16:00:00+02:00,2023-09-17T16:30:00+02:00,"[{""begin"": ""2023-09-16T11:00:00+02:00"", ""end"": ""2023-09-16T11:30:00+02:00""}, {""begin"": ""2023-09-16T15:00:00+02:00"", ""end"": ""2023-09-16T15:30:00+02:00""}, {""begin"": ""2023-09-16T16:00:00+02:00"", ""end"": ""2023-09-16T16:30:00+02:00""}, {""begin"": ""2023-09-17T11:00:00+02:00"", ""end"": ""2023-09-17T11:30:00+02:00""}, {""begin"": ""2023-09-17T15:00:00+02:00"", ""end"": ""2023-09-17T15:30:00+02:00""}, {""begin"": ""2023-09-17T16:00:00+02:00"", ""end"": ""2023-09-17T16:30:00+02:00""}]",,,8034754,"48.10987, -1.67549",Musée des Beaux-Arts,"20, Quai Émile Zola, 35000 Rennes",Quartiers Centre,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,http://www.mbar.org,https://mba.rennes.fr/fichier/rte/PROG_septembre2018.pdf,"Musée, salle d'exposition;Musée de France","Le musée des beaux-arts de Rennes est, comme la plupart des musées de France, une création révolutionnaire. Constitué en 1794 à partir des œuvres saisies dans les édifices religieux et civils de la ville, le musée des beaux-arts tire cependant la plus grande partie de ses richesses du fabuleux cabinet de curiosités de Christophe-Paul de Robien (1698-1756), président au Parlement de Bretagne. Cette collection encyclopédique était l'une des plus riches d'Europe : peintures, sculptures, antiquités égyptiennes, grecques et surtout celtiques, objets d'art provenant de tous les continents, ainsi qu'un exceptionnel ensemble de dessins où se côtoient Léonard de Vinci, Botticelli, Dürer et Rembrandt. Entre 1801 et 1811, des envois de l'Etat viennent compléter le fonds initial et apportent des œuvres de première importance, issues des confiscations révolutionnaires parisiennes et des conquêtes des armées françaises que le Muséum Central du Louvre ne pouvait plus contenir. Ainsi, de grands chefs-d'œuvre illustrant les différentes écoles de peinture européennes entrent dans la collection : Véronèse, Persée délivrant Andromède, Rubens, La Chasse au tigre ou Le Brun avec la gigantesque Descente de Croix de la chapelle de Versailles. Au XIXe siècle, les achats réalisés par l'Etat aux Salons enrichissent le musée d'œuvres significatives des courants officiels, en particulier l'extravagant tableau d'Edouard Toudouze, Eros et Aphrodite. L'installation en 1855 du musée dans un nouveau bâtiment abritant aussi l'Université suscite des donations et legs importants : Le don d'Eugène Froment (Amaury-Duval, Portrait d'Isaure Chassériau) et le legs de Paul Lucas qui dote le musée d'une collection de Primitifs italiens. 
Endommagé par la Seconde Guerre mondiale, le musée des beaux-arts de Rennes est l'objet d'une rénovation en 1957, accompagnée d'une active politique d'acquisitions qui fait entrer la collection dans la modernité : les Impressionnistes avec Gustave Caillebotte, Les Périssoires et l'Ecole de Pont-Aven, Emile Bernard, L'Arbre jaune, Paul Sérusier, Solitude et la Marine bleue de Georges Lacombe. Depuis vingt ans, le musée a constitué un ensemble modeste mais représentatif des divers courants artistiques du XXe siècle, pour lesquels on compte quelques chefs-d'œuvre : Frantisek Kupka, Bleus mouvants, Pablo Picasso, Baigneuse à Dinard, Yves Tanguy, L'Inspiration, etc. La collection d'art contemporain s'est développée selon deux axes principaux : les artistes originaires de la Bretagne, comme les Affichistes et les différents courants de l'abstraction de Sam Francis à Aurelie Nemours.",,,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
76155351,https://openagenda.com/jep/events/visite-maurepas,Visite Maurepas,Journées européennes du patrimoine 2023,"<p>Maurepas<br />Découverte des sculptures-vitrines d’Isabelle Cornaro, des photos d’Isabelle Arthuis et du projet de futur Musée des beaux-arts à Maurepas.</p>","Rendez-vous : station Gros-Chêne, au niveau de la rue de la Marbaudais.",,2023-09-23T16:44:45+02:00,16 et 17 septembre,2023-09-16T10:30:00+02:00,2023-09-16T11:00:00+02:00,2023-09-17T16:00:00+02:00,2023-09-17T16:30:00+02:00,"[{""begin"": ""2023-09-16T10:30:00+02:00"", ""end"": ""2023-09-16T11:00:00+02:00""}, {""begin"": ""2023-09-16T11:30:00+02:00"", ""end"": ""2023-09-16T12:00:00+02:00""}, {""begin"": ""2023-09-16T15:00:00+02:00"", ""end"": ""2023-09-16T15:30:00+02:00""}, {""begin"": ""2023-09-16T16:00:00+02:00"", ""end"": ""2023-09-16T16:30:00+02:00""}, {""begin"": ""2023-09-17T10:30:00+02:00"", ""end"": ""2023-09-17T11:00:00+02:00""}, {""begin"": ""2023-09-17T11:30:00+02:00"", ""end"": ""2023-09-17T12:00:00+02:00""}, {""begin"": ""2023-09-17T15:00:00+02:00"", ""end"": ""2023-09-17T15:30:00+02:00""}, {""begin"": ""2023-09-17T16:00:00+02:00"", ""end"": ""2023-09-17T16:30:00+02:00""}]",,,8034754,"48.10987, -1.67549",Musée des Beaux-Arts,"20, Quai Émile Zola, 35000 Rennes",Quartiers Centre,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,http://www.mbar.org,https://mba.rennes.fr/fichier/rte/PROG_septembre2018.pdf,"Musée, salle d'exposition;Musée de France","Le musée des beaux-arts de Rennes est, comme la plupart des musées de France, une création révolutionnaire. Constitué en 1794 à partir des œuvres saisies dans les édifices religieux et civils de la ville, le musée des beaux-arts tire cependant la plus grande partie de ses richesses du fabuleux cabinet de curiosités de Christophe-Paul de Robien (1698-1756), président au Parlement de Bretagne. Cette collection encyclopédique était l'une des plus riches d'Europe : peintures, sculptures, antiquités égyptiennes, grecques et surtout celtiques, objets d'art provenant de tous les continents, ainsi qu'un exceptionnel ensemble de dessins où se côtoient Léonard de Vinci, Botticelli, Dürer et Rembrandt. Entre 1801 et 1811, des envois de l'Etat viennent compléter le fonds initial et apportent des œuvres de première importance, issues des confiscations révolutionnaires parisiennes et des conquêtes des armées françaises que le Muséum Central du Louvre ne pouvait plus contenir. Ainsi, de grands chefs-d'œuvre illustrant les différentes écoles de peinture européennes entrent dans la collection : Véronèse, Persée délivrant Andromède, Rubens, La Chasse au tigre ou Le Brun avec la gigantesque Descente de Croix de la chapelle de Versailles. Au XIXe siècle, les achats réalisés par l'Etat aux Salons enrichissent le musée d'œuvres significatives des courants officiels, en particulier l'extravagant tableau d'Edouard Toudouze, Eros et Aphrodite. L'installation en 1855 du musée dans un nouveau bâtiment abritant aussi l'Université suscite des donations et legs importants : Le don d'Eugène Froment (Amaury-Duval, Portrait d'Isaure Chassériau) et le legs de Paul Lucas qui dote le musée d'une collection de Primitifs italiens. 
Endommagé par la Seconde Guerre mondiale, le musée des beaux-arts de Rennes est l'objet d'une rénovation en 1957, accompagnée d'une active politique d'acquisitions qui fait entrer la collection dans la modernité : les Impressionnistes avec Gustave Caillebotte, Les Périssoires et l'Ecole de Pont-Aven, Emile Bernard, L'Arbre jaune, Paul Sérusier, Solitude et la Marine bleue de Georges Lacombe. Depuis vingt ans, le musée a constitué un ensemble modeste mais représentatif des divers courants artistiques du XXe siècle, pour lesquels on compte quelques chefs-d'œuvre : Frantisek Kupka, Bleus mouvants, Pablo Picasso, Baigneuse à Dinard, Yves Tanguy, L'Inspiration, etc. La collection d'art contemporain s'est développée selon deux axes principaux : les artistes originaires de la Bretagne, comme les Affichistes et les différents courants de l'abstraction de Sam Francis à Aurelie Nemours.",,,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
33319380,https://openagenda.com/jep/events/cadastre-napoleonien-de-la-chapelle-chaussee-et-de-ses-90-villages,Cadastre Napoléonien de La Chapelle Chaussée (et de ses 90 villages),Journées européennes du patrimoine 2023,"<p>Découvrez le plan cadastral Napoléonien (photos, faits divers) de la Chapelle Chaussée et de ses 90 villages.</p>
<p></p>
<p>cf. programme JEP 2023 - La Chapelle Chaussée avec ses 90 Villages de 1825 à 2022</p>
<p></p>
<ul>
<li><em>Le samedi après-midi et la journée du dimanche.</em></li>
</ul>
<p></p>
<p>Exposition interactive des 90 villages de la Chapelle Chaussée en 28 tableaux avec :<br />- <strong>le Cadastre Napoléonien de 1825 comparé avec une photo aérienne de 2022</strong><br /><strong>- ses faits divers et ses particularités</strong><br /><strong>- le détail des recensements de 1841-1896-1936 qui permettront de découvrir la population et leurs métiers et ce par village.</strong><br />Un montage vidéo, de photos, des lieux dits et autres sera projeté en continu.</p>
<p></p>
<ul>
<li><em>Le dimanche,</em> des animations complémentaires se dérouleront sur la place de la Mairie :</li>
</ul>
<p></p>
<p>- Ecole d'antan avec dictée 10h30 et 15h<br />- Fabrication de beurre à l'ancienne.<br />- Atelier de pain à l'ancienne le matin pour les enfants (ils pourront repartir avec leur pain cuit l'après-midi).<br />- <strong>Atelier sur le plan cadastral</strong>.<br />Retrouvailles à la taverne d'autrefois sur ces 2 journées.<br />Une occasion unique de découvrir la Chapelle Chaussée sur ces 200 ans<br /><a href=""https://patrimoine.bretagne.bzh/decouvrir/journees-europeennes-du-patrimoine-2023-les-coups-de-coeur-de-la-region-bretagne/""><em>Un événement ""Coup de cœur 2023"" de la Région Bretagne</em></a></p>",,,2023-09-23T15:59:36+02:00,16 et 17 septembre,2023-09-16T14:00:00+02:00,2023-09-16T18:00:00+02:00,2023-09-17T10:00:00+02:00,2023-09-17T18:00:00+02:00,"[{""begin"": ""2023-09-16T14:00:00+02:00"", ""end"": ""2023-09-16T18:00:00+02:00""}, {""begin"": ""2023-09-17T10:00:00+02:00"", ""end"": ""2023-09-17T18:00:00+02:00""}]",,,10351209,"48.270738, -1.853281",La Chapelle-Chaussée,"35630, La Chapelle-Chaussée",,35058,35630,La Chapelle-Chaussée,Bretagne,Ille-et-Vilaine,https://www.lachapellechaussee.bzh/,https://www.lachapellechaussee.bzh/histoire-de-la-commune/;https://www.facebook.com/communechapellechaussee/;https://patrimoine.bzh/gertrude-diffusion/dossier/%20/aa740230-0a73-47ab-af87-3b61173c6dc7,"Lieu de pouvoir, édifice judiciaire;Première participation",JEP 2023 - Voyage dans le temps et retour sur 2 siècles d'histoire dans les 90 villages de la commune.,Rendez-vous Place de la mairie,,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
88052284,https://openagenda.com/jep/events/la-piscine-saint-georges,Visite de la Piscine Saint-Georges,Journées européennes du patrimoine 2023,"<p>Edifiée en 1925, la piscine Saint-Georges doit sa construction à l’énergie du maire de Rennes Jean Janvier. Dessinée par l’architecte de la ville Emmanuel Le Ray, elle fait partie des rares piscines de style Art déco encore en service aujourd’hui.<br />Classé monument historique depuis 2016, l’édifice a fait l’objet d’un diagnostic architectural qui permet d’analyser l’état du bâtiment presque centenaire.</p>",,,2023-09-23T15:32:59+02:00,"Samedi 16 septembre, 10h00, 11h00, 12h00",2023-09-16T10:00:00+02:00,2023-09-16T10:45:00+02:00,2023-09-16T12:00:00+02:00,2023-09-16T12:45:00+02:00,"[{""begin"": ""2023-09-16T10:00:00+02:00"", ""end"": ""2023-09-16T10:45:00+02:00""}, {""begin"": ""2023-09-16T11:00:00+02:00"", ""end"": ""2023-09-16T11:45:00+02:00""}, {""begin"": ""2023-09-16T12:00:00+02:00"", ""end"": ""2023-09-16T12:45:00+02:00""}]",,,65121948,"48.111777, -1.673451",Piscine Saint-Georges,"2 rue Gambetta, 35000, Rennes",Thabor - Saint-Hélier - Alphonse Guérin,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,,https://www.tourisme-rennes.com/fr/decouvrir-rennes/histoire/piscine-saint-georges-rennes/;https://www.pop.culture.gouv.fr/notice/merimee/PA35000077,"Monument historique;Villes et Pays d'art et d'histoire;Lieu de culture, spectacles, sports et loisirs",,,http://billetterie-rennes.com,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
19011930,https://openagenda.com/jep/events/visite-du-centre-de-recyclage-et-de-la-dechetterie-de-rennes-la-barre-thomas,Visite du Centre de recyclage et de la Déchetterie de Rennes (La Barre Thomas),Journées européennes du patrimoine 2023,"<p>Profitez des journées du patrimoine pour venir découvrir le centre de recyclage et la déchetterie réservée aux artisans situés à Rennes.<br />Le site de la Barre Thomas est un exemple notable. À l'origine un centre de tri, il s'est transformé en un lieu de valorisation des matières et en une déchetterie destinée aux professionnels. Cette occasion permettra de présenter aux visiteurs la variété des matériaux qui sont recyclés et réutilisés dans la région de Rennes.<br />Au programme, une visite pédagogique et ludique vous permettra d'en apprendre davantage sur le recyclage et la valorisation de matières spécifiques telles que les biodéchets, le plâtre, le plastique, le polystyrène, et bien d'autres. Vous aurez aussi l'opportunité de découvrir la section dédiée au réemploi au sein de la déchetterie professionnelle. Une visite qui plaira aussi bien aux adultes qu’aux enfants.<br />La visite sera gratuite et des membres de notre équipe seront présents sur place pour accompagner les visiteurs. Des explications et des affichages seront mis en place pour aider les participants à mieux appréhender l'histoire de la valorisation des déchets.</p>","Gratuit, sur inscription",,2023-09-23T16:53:53+02:00,"Dimanche 17 septembre, 10h00",2023-09-17T10:00:00+02:00,2023-09-17T12:00:00+02:00,2023-09-17T10:00:00+02:00,2023-09-17T12:00:00+02:00,"[{""begin"": ""2023-09-17T10:00:00+02:00"", ""end"": ""2023-09-17T12:00:00+02:00""}]",,,45229742,"48.109645, -1.73061",La Barre Thomas,"16 Rue Léon Berthault, 35000,Rennes",Bourg l'Évesque - La Touche - Moulin du Comte,35238,35920,Rennes,Bretagne,Ille-et-Vilaine,,,"Première participation;Édifice industriel, scientifique et technique","Sur le site de la Barre-Thomas, Veolia propose aux entreprises, des solutions de valorisation des déchets issus de l'activité économique.
Veolia accueille les professionnels (entreprises, artisans, commerçants) ayant souscrit un contrat, sur sa déchetterie pro labellisée Recycl'inn Pro.
Le site dispose d'un process unique en France pour trier les résines PP et PEHD en mélange et de la seule presse à polystyrène en Bretagne.",Parking,,,99,Journées européennes du patrimoine 2023 : Bretagne,3301657
