gid,nom,arrete_pref_numero,xy_precis,id_adr,adr_num,adr_voie,com_cp,com_insee,com_nom,lat_coor1,long_coor1,structure_siren,structure_type,structure_rais,structure_num,structure_voie,structure_cp,structure_insee,structure_com,_userid_creation,_userid_modification,_edit_datemaj,lieu_accessibilite,rdv_lundi,rdv_mardi,rdv_mercredi,rdv_jeudi,rdv_vendredi,rdv_samedi,rdv_dimanche,rdv,date_fermeture,date_ouverture,rdv_site_web,rdv_tel,rdv_tel2,rdv_modalites,rdv_consultation_prevaccination,centre_svi_repondeur,centre_fermeture,reserve_professionels_sante,centre_type
3088,RENNES -  Centre Villejean Malifeu,,0.99999920179906,35238_1105_00002,11,Rue du Bourbonnais,35000,35238,Rennes,48.1205,-1.70904,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,PL DES COLOMBES,35000,35238,RENNES,18078,18078,2022-03-28 16:11:53.365456,,9h00-19h00,9h00-19h00,9h00-19h00,9h00-19h00,9h00-19h00,fermé,fermé,t,2022-03-25,2021-12-03,https://partners.doctolib.fr/vaccination-covid-19/rennes/centre-de-vaccination-covid-19-rennes-malifeu-b?speciality_id=5494&enable_cookies_consent=1,0 800 009 110,,,t,,t,f,
3089,RENNES - Centre Plaine de Baud (SDIS),,0.99999780213377,35238_3225_00003,3,Avenue François Château,35000,35238,Rennes,48.1104,-1.65391,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,PL DES COLOMBES,35000,35238,RENNES,18078,18078,2022-03-02 09:57:26.16935,,7h30-19h00,7h30-19h00,7h30-19h00,7h30-19h00,7h30-19h00,10h00-18h00,10h00-18h00,t,2022-02-26,2021-12-04,https://partners.doctolib.fr/vaccination-covid-19/ile-et-vilaine/centre-de-vaccination-covid-19-vaccimobile-35-ars-communes-ile-et-vilaine?speciality_id=5494&enable_cookies_consent=1,+33805690821,,,,,t,f,
892,RENNES - Complexe sportif Bréquigny,,0.99999960138562,35238_0200_00014,12,Boulevard Albert 1er,35200,35238,Rennes,48.0898,-1.68872,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,PL DES COLOMBES,35000,35238,RENNES,18,18078,2022-03-02 09:54:15.843252,,9h00 - 19h00,9h00 - 19h00,9h00 - 19h00,9h00 - 19h00,9h00 - 19h00,fermé,fermé,t,2022-02-25,2021-01-18,https://partners.doctolib.fr/centre-de-vaccinations-internationales/rennes/centre-de-vaccination-covid-19-rennes-liberte?speciality_id=5494&enable_cookies_consent=1,+33805690821,,,,,t,f,
1795,CP - UCSA - Centre pénitentiaire des Hommes Rennes-Vezin / Centre pénitentiaire de Rennes-Vézin le Coquet,639589,0.95,35353_0183,,Rue du Petit Pré,35132,35353,Vezin-le-Coquet,48.1074,-1.73923,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,PL DES COLOMBES,35000,35238,RENNES,,18,2021-08-02 17:18:54.033793,,Fermé au public,Fermé au public,Fermé au public,Fermé au public,Fermé au public,Fermé au public,Fermé au public,t,,,,,,USMP,f,,t,f,{USMP}
2887,Dispositif itinérant étudiants - Fac de droit,,0.99999983668811,35238_4800_00012_ter,9,Rue Jean Macé,35700,35238,Rennes,48.1175,-1.66992,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,DES COLOMBES PL,35000,35238,RENNES,18,18,2021-09-09 15:47:06.323016,,11H30–18H30,11H30–18H30,11H30–18H30,11H30–18H30,11H30–18H30,fermé,fermé,f,2021-10-23,2021-09-18,,+33805690821,,"Dispositif itinérant pour les étudiants (Rennes School Of Business, Baulieu , Fac de droit, Villejean)",,,f,f,"{""Equipe mobile""}"
2888,Dispositif itinérant étudiants - Villejean,,0.99999961622748,35238_4340,2,Avenue du professeur Léon Bernard,35000,35238,Rennes,48.1171,-1.69592,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,DES COLOMBES PL,35000,35238,RENNES,18,18,2021-09-09 15:46:32.459146,,11H30–18H30,11H30–18H30,11H30–18H30,11H30–18H30,11H30–18H30,fermé,fermé,f,2021-10-30,2021-09-25,,+33805690821,,"Dispositif itinérant pour les étudiants (Rennes School Of Business, Baulieu , Fac de droit, Villejean)",,,f,f,"{""Equipe mobile""}"
2886,Dispositif itinérant étudiants - Baulieu,,0.99998114611392,35238_3165_00023_a,263,Avenue Professeur Charles Foulon,35700,35238,Rennes,48.1188,-1.64533,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,DES COLOMBES PL,35000,35238,RENNES,18,18,2021-09-09 15:47:32.631989,,11H30–18H30,11H30–18H30,11H30–18H30,11H30–18H30,11H30–18H30,fermé,fermé,f,2021-10-16,2021-09-11,,+33805690821,,"Dispositif itinérant pour les étudiants (Rennes School Of Business, Baulieu , Fac de droit, Villejean)",,,f,f,"{""Equipe mobile""}"
2920,RENNES - Cleunay (dispositif itinérant sans RDV du CDV de Bréquigny),,0.99999980992635,35238_3100_00018,18,Rue Ferdinand de Lesseps,35000,35238,Rennes,48.1023,-1.7078,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,DES COLOMBES PL,35000,35238,RENNES,18,18,2021-09-10 18:03:15.724157,,fermé,fermé,fermé,fermé,fermé,fermé,fermé,f,2021-09-24,2021-09-22,,+33805690821,,,,,f,f,"{""Equipe mobile""}"
2919,RENNES - Maurepas (dispositif itinérant sans RDV du CDV de Bréquigny),,0.99999973443137,35238_9340_00013,13,Rue de Trégain,35700,35238,Rennes,48.1259,-1.66083,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,DES COLOMBES PL,35000,35238,RENNES,18,18,2021-09-10 18:03:36.49974,,fermé,fermé,14h00-19h00,14h00-19h00,14h00-19h00,fermé,fermé,f,2021-09-10,2021-09-08,,+33805690821,,,,,f,f,"{""Equipe mobile""}"
2918,RENNES - Le Blosne (dispositif itinérant sans RDV du CDV de Bréquigny),,0.99999997812295,35238_5361_00004,10,Chemin du Landrel,35200,35238,Rennes,48.0898,-1.65508,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,DES COLOMBES PL,35000,35238,RENNES,18,18,2021-09-10 18:04:03.714808,,fermé,fermé,14h00:19h00,14h00:19h00,14h00:19h00,09h00:12h00,fermé,f,2021-09-18,2021-09-14,,+33805690821,,Dispositif itinérant CDV Bréquigny : Le Blosne - Gymnase Guillevic,,,f,f,"{""Equipe mobile""}"
2885,Dispositif itinérant étudiants - Rennes School Of Business,,0.99999990461846,35238_4863_00020,15,Rue Professeur Jean Pecker,35000,35238,Rennes,48.1254,-1.69323,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,DES COLOMBES PL,35000,35238,RENNES,18,18,2021-09-21 13:00:01.504718,,11H30–18H30,11H30–18H30,11H30–18H30,11H30–18H30,11H30–18H30,fermé,fermé,f,2021-10-09,2021-09-06,https://partners.doctolib.fr/vaccination-covid-19/rennes/centre-de-vaccination-covid-19-rennes-school-of-business-rennes?pid=practice-205813&enable_cookies_consent=1,+33805690821,,"Dispositif itinérant pour les étudiants (Rennes School Of Business, Baulieu , Fac de droit, Villejean)",,,f,f,"{""Equipe mobile""}"
2867,RENNES - C.C. Alma,,0.99999981542402,35238_1057_00005_bis,5bis,Rue du Bosphore,35200,35238,Rennes,48.0823,-1.67879,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,DES COLOMBES PL,35000,35238,RENNES,18,18078,2022-04-06 11:18:02.02127,,08h30 - 19h30,08h30 - 19h30,08h30 - 19h30,08h30 - 19h30,08h30 - 19h30,08h30 - 19h30,fermé,t,2022-03-28,2021-09-13,https://partners.doctolib.fr/vaccination-covid-19/rennes/centre-de-vaccination-covid-19-du-centre-commercial-alma?pid=practice-203059&enable_cookies_consent=1,0 800 009 110,,,,,t,f,
3187,BRUZ - CDV Parc Expo,,0.99999988273526,35047_b232_00023,23,La Haie Gautrais,35170,35047,Bruz,48.0552,-1.73228,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,PL DES COLOMBES,35000,35238,RENNES,18078,18078,2022-04-06 11:18:50.958746,,8h30 - 19h30,8h30 - 19h30,8h30 - 19h30,8h30 - 19h30,8h30 - 19h30,fermé,fermé,t,2022-03-31,2022-01-13,https://partners.doctolib.fr/vaccination-covid-19/bruz/centre-de-vaccination-covid-19-bruz?speciality_id=5494&enable_cookies_consent=1,0 800 009 110,,,t,,t,f,"{""Vaccination 5-11 ans"",""Vaccination NOVAVAX""}"
